factors_by_location_view_id,location,infection_rate,death_rate,avg_stringency_index,avg_population_density,avg_cardiovasc_death_rate,avg_aged_70_older,avg_handwashing_facilities,avg_human_development_index,avg_life_expectancy,full_vaccination_rate
199,Turks and Caicos Islands,8.7747,0.0537,0,37.312,0,0,0,0,80.22000122,43.9315
150,Palestine,8.5191,0.0742,36.58158269,778.202,265.91,1.725999951,0,0.708000004,74.05000305,21.7567
4,American Samoa,8.5182,0.0349,0,278.205,283.75,0,0,0,73.73999786,\N
202,Ukraine,8.3553,0.1731,29.37916021,77.39,539.849,11.13300037,0,0.778999984,72.05999756,44.0007
42,Colombia,8.2877,0.1935,35.87144703,44.223,124.24,4.311999798,65.38600159,0.76700002,77.29000092,42.5963
118,Malaysia,8.2225,0.0642,34.54139013,96.254,260.942,3.407000065,0,0.810000002,76.16000366,38.8837
200,Tuvalu,8.2076,0.0016,0,373.067,0,0,0,0,67.56999969,37.2964
78,Grenada,8.0892,0.1081,0,317.132,243.964,5.020999908,0,0.778999984,72.40000153,42.2013
126,Micronesia (country),8.0739,0.0201,0,150.777,454.343,2.39199996,0,0.620000005,67.87999725,\N
25,Bosnia and Herzegovina,8.0455,0.3322,27.3877584,68.496,329.635,10.71100044,97.16400146,0.779999971,77.40000153,45.6287
154,Peru,8.0214,0.4843,37.95997416,25.129,85.755,4.454999924,0,0.77700001,76.73999786,34.4917
186,Suriname,7.9331,0.1407,38.40777778,3.612,258.314,4.229000092,67.77899933,0.737999976,71.68000031,39.1588
163,Saint Kitts and Nevis,7.478,0.053,0,212.865,0,0,0,0.778999984,76.23000336,42.0051
26,Botswana,7.3784,0.0677,25.82158915,4.044,237.372,2.242000103,0,0.735000014,69.58999634,46.5294
203,United Arab Emirates,7.2725,0.018,31.31984496,112.442,317.84,0.526000023,0,0.889999986,77.97000122,27.8844
2,Albania,7.1232,0.0879,29.58216408,104.871,304.195,8.642999649,0,0.795000017,78.56999969,42.1046
194,Tonga,6.9368,0.0053,32.28901809,150.028,227.49,4.032000065,0,0.725000024,70.91000366,38.6701
36,Cape Verde,6.7744,0.0481,34.09591085,135.58,182.219,3.437000036,0,0.665000021,72.98000336,37.378
35,Canada,6.7684,0.0838,35.39223363,4.037,105.599,10.79699993,0,0.92900002,82.43000031,18.9336
153,Paraguay,6.7671,0.19,30.92583333,17.144,199.128,3.832999945,79.60199738,0.727999985,74.25,31.921
195,Trinidad and Tobago,6.6257,0.1587,36.91514858,266.886,228.467,5.818999767,89.44300079,0.796000004,73.51000214,45.9572
18,Belarus,6.6096,0.048,16.53824289,46.858,443.129,9.788000107,0,0.823000014,74.79000092,26.5693
48,Cuba,6.0738,0.0473,33.99338501,110.408,190.968,9.718999863,85.19799805,0.782999992,78.80000305,24.7954
147,Oman,6.0257,0.0719,32.77231912,14.98,266.342,1.529999971,97.40000153,0.813000023,77.86000061,45.743
211,Vietnam,5.7793,0.0249,38.71598837,308.127,245.465,4.717999935,85.84700012,0.703999996,75.40000153,24.9109
14,Bahamas,5.6922,0.1294,37.02540052,39.497,235.954,5.199999809,0,0.81400001,73.91999817,43.4156
196,Tunisia,5.687,0.1563,34.95391473,74.228,318.991,5.074999809,78.68699646,0.74000001,76.69999695,50.3589
24,Bolivia,5.6451,0.132,29.94382429,10.202,204.299,4.393000126,25.38299942,0.717999995,71.51000214,43.5835
91,Iran,5.4977,0.1144,42.01102067,49.831,270.308,3.181999922,0,0.782999992,76.68000031,40.0907
7,Antigua and Barbuda,5.3805,0.094,0,231.845,191.511,4.631000042,0,0.777999997,77.01999664,42.5036
166,Saint Vincent and the Grenadines,5.3392,0.0649,0,281.787,252.675,4.831999779,0,0.737999976,72.52999878,38.675
