infection_death_rate_id,location,continent,total_cases,total_deaths,total_population,infection_rate,death_rate,infected_population,dead_population_no
230,"Zambia","Africa",329574587,4193527,29445992570,1.1193,0.0142,29116417983,29441799043
57,"Djibouti","Africa",17853419,216461,1648771821,1.0828,0.0131,1630918402,1648555360
116,"Lesotho","Africa",33705739,733455,3262743790,1.0330,0.0225,3229038051,3262010335
231,"Zimbabwe","Africa",242537500,5656903,24007512869,1.0103,0.0236,23764975369,24001855966
130,"Mauritania","Africa",61788649,1095748,7000023788,0.8827,0.0157,6938235139,6998928040
17,"Bangladesh","Asia",2095996486,31442371,254211756480,0.8245,0.0124,252115759994,254180314109
142,"Myanmar","Asia",620926861,19442618,79318512768,0.7828,0.0245,78697585907,79299070150
63,"Equatorial Guinea","Africa",18110436,210267,2475525848,0.7316,0.0085,2457415412,2475315581
45,"Comoros","Africa",8618283,182153,1195762907,0.7207,0.0152,1187144624,1195580754
172,"Rwanda","Africa",128854946,1459568,20361965556,0.6328,0.0072,20233110610,20360505988
35,"Cambodia","Asia",132932026,2921664,25487133520,0.5216,0.0115,25354201494,25484211856
157,"Pakistan","Asia",1685234246,34034353,351850697088,0.4790,0.0097,350165462842,351816662735
141,"Mozambique","Africa",226637824,2274053,48267377280,0.4695,0.0047,48040739456,48265103227
108,"Kenya","Africa",353461208,6112160,79852621352,0.4426,0.0077,79499160144,79846509192
3,"Algeria","Africa",287153143,7542262,66995616176,0.4286,0.0113,66708463033,66988073914
79,"Ghana","Africa",184321932,1539446,49477335860,0.3725,0.0031,49293013928,49475796414
184,"Senegal","Africa",93869759,2143390,25714931220,0.3650,0.0083,25621061461,25712787830
1,"Afghanistan","Asia",216378276,8474611,61364127824,0.3526,0.0138,61147749548,61355653213
223,"Uzbekistan","Asia",152325933,933276,43907857664,0.3469,0.0021,43755531731,43906924388
76,"Gambia","Africa",13306543,397986,3980518645,0.3343,0.0100,3967212102,3980120659
36,"Cameroon","Africa",132210911,2128952,41453094870,0.3189,0.0051,41320883959,41450965918
61,"Egypt","Africa",532638439,26785291,167151084576,0.3187,0.0160,166618446137,167124299285
89,"Guinea-Bissau","Africa",9484478,182450,3082569120,0.3077,0.0059,3073084642,3082386670
123,"Malawi","Africa",88840621,2764809,29730548326,0.2988,0.0093,29641707705,29727783517
46,"Congo","Africa",25882957,401734,8824295540,0.2933,0.0046,8798412583,8823893806
161,"Papua New Guinea","Oceania",43115197,610776,14919801375,0.2890,0.0041,14876686178,14919190599
208,"Togo","Africa",37930423,297874,13140319500,0.2887,0.0023,13102389077,13140021626
67,"Ethiopia","Africa",513719710,7946925,182355533584,0.2817,0.0044,181841813874,182347586659
216,"Uganda","Africa",169773196,3597691,69504143948,0.2443,0.0052,69334370752,69500546257
34,"Burundi","Africa",44179286,15625,18780122431,0.2352,0.0001,18735943145,18780106806
49,"Cote d'Ivoire","Africa",91998095,839288,41621289944,0.2210,0.0020,41529291849,41620450656
91,"Haiti","North America",35363410,903146,17041539413,0.2075,0.0053,17006176003,17040636267
40,"Central African Republic","Africa",16971603,136410,8245980744,0.2058,0.0017,8229009141,8245844334
88,"Guinea","Africa",41942994,470301,20484117822,0.2048,0.0023,20442174828,20483647521
6,"Angola","Africa",100904109,1975426,51853167172,0.1946,0.0038,51752263063,51851191746
64,"Eritrea","Africa",10150088,93707,5419224311,0.1873,0.0017,5409074223,5419130604
203,"Syria","Asia",57261248,3277392,32391354288,0.1768,0.0101,32334093040,32388076896
122,"Madagascar","Africa",70546257,1454059,43558837178,0.1620,0.0033,43488290921,43557383119
149,"Nicaragua","North America",16247163,295015,10221089045,0.1590,0.0029,10204841882,10220794030
204,"Tajikistan","Asia",22116779,157219,14222535481,0.1555,0.0011,14200418702,14222378262
22,"Benin","Africa",27642595,181505,19642062944,0.1407,0.0009,19614420349,19641881439
196,"South Sudan","Africa",19136989,166404,15824099400,0.1209,0.0011,15804962411,15823932996
193,"Somalia","Africa",28363145,1420380,25885934268,0.1096,0.0055,25857571123,25884513888
117,"Liberia","Africa",8140005,326445,7800256990,0.1044,0.0042,7792116985,7799930545
